Korteriomandite (eluruumide) tehingud,,,,,,,,,,,,
"Harju maakond, Anija vald / Harju maakond, Harku vald / Harju maakond, Jõelähtme vald / Harju maakond, Keila linn / Harju maakond, Kiili vald / Harju maakond, Kose vald / Harju maakond, Kuusalu vald / Harju maakond, Loksa linn / Harju maakond, Lääne-Harju vald / Harju maakond, Maardu linn / Harju maakond, Raasiku vald / Harju maakond, Rae vald / Harju maakond, Saku vald / Harju maakond, Saue vald / Harju maakond, Tallinn linn / Harju maakond, Viimsi vald / Harju maakond, Haabersti linnaosa / Harju maakond, Kesklinna linnaosa / Harju maakond, Kristiine linnaosa / Harju maakond, Lasnamäe linnaosa / Harju maakond, Mustamäe linnaosa / Harju maakond, Nõmme linnaosa / Harju maakond, Pirita linnaosa / Harju maakond, Põhja-Tallinna linnaosa 2024 aastal",,,,,,,,,,,,
10.05.2025,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,Pindala(m2),Tehingu summa (eur),,,Pinnaühiku hind(eur /m2),,,,
,,Pindala(m2),Arv,Keskmine,Kokku,Minimaalne,Maksimaalne,Minimaalne,Maksimaalne,Mediaan,Keskmine,Standardhälve
,,KOKKU,97,42.10,"13,831,270","27,300","468,500",700.00,"8,219.34","3,099.63","3,227.19","1,312.37"
,Raasiku vald,"70-249,99",1,***,***,***,***,***,***,***,***,***
,Rae vald,"10-29,99",1,***,***,***,***,***,***,***,***,***
,,"41-54,99",10,47.30,"1,430,700","65,000","180,000","1,279.53","3,829.32","3,286.87","3,029.57",811.46
,,"55-69,99",3,***,***,***,***,***,***,***,***,***
,,"70-249,99",24,103.20,"6,636,465","180,000","380,000","2,244.39","3,354.55","2,649.73","2,682.02",292.28
,,KOKKU,38,83.40,"8,750,465","65,000","380,000","1,279.53","3,829.32","2,705.93","2,825.27",516.60
,Saku vald,"70-249,99",1,***,***,***,***,***,***,***,***,***
,Saue vald,"30-40,99",2,***,***,***,***,***,***,***,***,***
,,"41-54,99",4,***,***,***,***,***,***,***,***,***
,,"55-69,99",3,***,***,***,***,***,***,***,***,***
,,"70-249,99",7,108.60,"1,078,100","6,100","262,000",38.05,"2,997.71","2,290.08","1,737.48","1,199.83"
,,KOKKU,16,76.40,"2,260,000","6,100","262,000",38.05,"3,360.22","2,462.21","2,223.85","1,075.49"
,Tallinn,"10-29,99",62,21.40,"3,898,974","6,082","141,000",264.43,"5,145.99","3,083.56","2,983.97",850.12
,,"30-40,99",101,35.10,"9,463,199","20,919","200,000",587.61,"5,235.60","2,532.98","2,657.00",848.87
,,"41-54,99",175,46.80,"23,153,471","30,000","348,500",616.02,"8,219.34","2,568.81","2,822.55","1,014.51"
,,"55-69,99",115,62.40,"19,729,440","25,000","464,500",375.94,"7,396.50","2,387.84","2,757.51","1,159.13"
,,"70-249,99",93,93.60,"31,143,171","57,520","891,000",704.90,"7,435.32","3,451.71","3,551.63","1,242.00"
,,KOKKU,546,53.00,"87,388,255","6,082","891,000",264.43,"8,219.34","2,727.30","2,920.74","1,083.11"
,Viimsi vald,"30-40,99",2,***,***,***,***,***,***,***,***,***
,,"41-54,99",4,***,***,***,***,***,***,***,***,***
,,"55-69,99",3,***,***,***,***,***,***,***,***,***
,,"70-249,99",7,100.40,"1,571,112","64,000","376,000",824.74,"3,017.16","2,144.81","2,154.44",683.67
